"TIMESTAMP","RECORD","u","v","w","Ts","CH4","N2O","H2O","Flowrate"
"2022-08-18 07:00:00.1",7674070,-1.472227,0.1579756,-0.1845262,26.40051,2310.53,338.582,17098900,12.23491
"2022-08-18 07:00:00.2",7674071,-1.449659,0.2681603,-0.1539931,26.37662,2311.81,338.354,17066700,12.23491
"2022-08-18 07:00:00.3",7674072,-1.538603,0.2150593,-0.07168642,26.38458,2313.51,339.43,17110200,12.23491
"2022-08-18 07:00:00.4",7674073,-1.589049,0.1553206,-0.04380837,26.37662,2308.6,339.487,17074300,12.23491
"2022-08-18 07:00:00.5",7674074,-1.437711,0.3066586,0.01593032,26.37662,2308.46,339.216,17083300,12.23491
"2022-08-18 07:00:00.6",7674075,-1.428418,0.2482474,-0.02256795,26.38458,2311.41,339.072,17112400,12.23491
"2022-08-18 07:00:00.7",7674076,-1.489485,0.1778885,-0.06239374,26.36865,2311.85,339.376,17087200,12.23491
"2022-08-18 07:00:00.8",7674077,-1.590376,0.227007,-0.001327526,26.36467,2314.4,338.936,17096800,12.23491
"2022-08-18 07:00:00.9",7674078,-1.648788,0.1778885,-0.02256795,26.32883,2312.34,339.489,17080400,12.23491
"2022-08-18 07:00:01",7674079,-1.639495,0.1274425,-0.03451568,26.38458,2312.99,338.866,17102100,12.23491
"2022-08-18 07:00:01.1",7674080,-1.681976,0.05841116,-0.06239374,26.39653,2314.28,338.563,17134700,12.23491
"2022-08-18 07:00:01.2",7674081,-1.672683,0.01991289,-0.1221324,26.44432,2313.89,339.753,17087500,12.23491
"2022-08-18 07:00:01.3",7674082,-1.640823,0.03584321,-0.1831986,26.44831,2313.48,339.069,17150000,12.23491
"2022-08-18 07:00:01.4",7674083,-1.579756,0.02920558,-0.1632857,26.42441,2316.79,339.521,17074600,12.23491
"2022-08-18 07:00:01.5",7674084,-1.598342,-0.01327526,-0.1420453,26.42839,2315.45,338.841,17077400,12.23491
"2022-08-18 07:00:01.6",7674085,-1.481519,-0.07832405,-0.1632857,26.4045,2318.35,338.804,17138200,12.23491
"2022-08-18 07:00:01.7",7674086,-1.488157,0.02920558,-0.1845262,26.39255,2315.07,339.842,17092600,12.23491
"2022-08-18 07:00:01.8",7674087,-1.470899,0.1354077,-0.09292684,26.42839,2318.67,339.538,17122300,12.23491
"2022-08-18 07:00:01.9",7674088,-1.537275,0.2150593,0.06239374,26.42043,2318.41,338.969,17130300,12.23491
"2022-08-18 07:00:02",7674089,-1.399213,0.009292684,0.1048746,26.42839,2319.04,339.648,17142900,12.23491
"2022-08-18 07:00:02.1",7674090,-1.461607,0.2376272,0.1035471,26.43238,2316.8,338.641,17157900,12.23491
"2022-08-18 07:00:02.2",7674091,-1.437711,0.1354077,0.09690942,26.42839,2318.94,338.52,17113600,12.23491
"2022-08-18 07:00:02.3",7674092,-1.598342,0.1778885,-0.03451568,26.43238,2319,338.793,17154200,12.23491
"2022-08-18 07:00:02.4",7674093,-1.549223,0.03717074,-0.2323171,26.44432,2316.36,339.106,17131900,12.23491
"2022-08-18 07:00:02.5",7674094,-1.521345,0.1168223,-0.2747979,26.43238,2324.23,339.674,17132600,12.23491
"2022-08-18 07:00:02.6",7674095,-1.49214,0.2376272,-0.3318816,26.42839,2318.78,339.331,17157300,12.23491
"2022-08-18 07:00:02.7",7674096,-1.470899,0.2256795,-0.353122,26.42839,2320.9,339.585,17177000,12.23491
"2022-08-18 07:00:02.8",7674097,-1.437711,0.1778885,-0.3132962,26.44432,2323.81,338.906,17169600,12.23491
"2022-08-18 07:00:02.9",7674098,-1.450986,0.03053311,-0.2416098,26.44034,2321.74,338.899,17131700,12.23491
"2022-08-18 07:00:03",7674099,-1.429746,-0.05177353,-0.2535575,26.43238,2323.89,339.042,17148100,12.23491
"2022-08-18 07:00:03.1",7674100,-1.489485,0.1274425,-0.2734704,26.42839,2321.46,339.329,17178300,12.23491
"2022-08-18 07:00:03.2",7674101,-1.38992,0.2283345,-0.3239164,26.43238,2326.33,339.906,17170200,12.23491
"2022-08-18 07:00:03.3",7674102,-1.486829,0.3066586,-0.1845262,26.41644,2324.04,339.758,17197900,12.23491
"2022-08-18 07:00:03.4",7674103,-1.431073,0.2694878,-0.1340802,26.42043,2324.31,338.517,17186000,12.23491
"2022-08-18 07:00:03.5",7674104,-1.481519,0.2349721,-0.1115122,26.42441,2321.49,338.979,17144700,12.23491
"2022-08-18 07:00:03.6",7674105,-1.387265,0.2854182,-0.1725784,26.42043,2321.07,339.492,17251300,12.23491
"2022-08-18 07:00:03.7",7674106,-1.38992,0.3571046,-0.2734704,26.42839,2318.29,339.032,17198700,12.23491
"2022-08-18 07:00:03.8",7674107,-1.359387,0.3212614,-0.2628502,26.42441,2320.13,339.423,17206600,12.23491
"2022-08-18 07:00:03.9",7674108,-1.340802,0.3292265,-0.25223,26.42839,2320.64,339.905,17159300,12.23491
"2022-08-18 07:00:04",7674109,-1.278408,0.3199338,-0.2840906,26.42839,-9999,-9999,-9999,12.23491
"2022-08-18 07:00:04.1",7674110,-1.279735,0.3371917,-0.2416098,26.43238,2319.34,339.228,17183100,12.23491
"2022-08-18 07:00:04.2",7674111,-1.230617,0.2973659,-0.2203694,26.40051,2317.49,338.945,17172000,12.23491
"2022-08-18 07:00:04.3",7674112,-1.160258,0.3000209,-0.2840906,26.43238,2317.49,339.521,17169600,12.23491
